adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2013,QCEW,5969.451894,50347,0.118566189,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2013,QCEW,9678.86421,17469,0.554059432,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2013,QCEW,15149.99965,48091,0.315027752,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2013,QCEW,4432.149125,15239,0.290842518,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2013,QCEW,758.5062954,98826,0.007675169,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2013,QCEW,160593,160593,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2013,QCEW,98503.90548,98503.90548,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2013,QCEW,61157,61157,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2013,QCEW,40737,40737,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2014,QCEW,23003.117,78687,0.292336943,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2014,QCEW,6177.456012,51620,0.119671755,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2014,QCEW,9915.100577,17851,0.555436703,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2014,QCEW,15846.2048,50307,0.314990057,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2014,QCEW,4533.05101,15439,0.293610403,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2014,QCEW,776.8738953,102924,0.007548034,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2014,QCEW,170363,170363,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2014,QCEW,102424.8873,102424.8873,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2014,QCEW,64200,64200,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2014,QCEW,43426,43426,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2015,QCEW,23448.8534,79982,0.293176632,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2015,QCEW,6365.532035,52970,0.1201724,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2015,QCEW,9963.247352,18047,0.55207222,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2015,QCEW,16512.84515,52603,0.313914513,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2015,QCEW,4992.017393,16676,0.299353406,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2015,QCEW,938.655054,117555,0.007984816,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2015,QCEW,166670,166670,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2015,QCEW,104833.717,104833.717,1,,,,
