ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
324,Automobile and light duty motor vehicle manufacturing,5879615741.85007,38376690.85249667,0.006527074648660819
186,Tire manufacturing,73180739.663259,38333119.57702926,0.5238143226403424
496,Electronic and precision equipment repair and maintenance,2143900705.0,36729498.08310646,0.017132089185588686
206,Miscellaneous nonmetallic mineral products manufacturing,98875345.66236,36658051.82273196,0.37075017616537137
457,Investigation and security services,1483691106.6838,35785104.3931968,0.024118972090612673
126,Veneer and plywood manufacturing,219080141.65925,35021657.40443559,0.1598577449292831
394,Retail - General merchandise stores,8335106083.0,34657605.89587,0.004158028170338045
124,Sawmills,729658839.632487,34604430.00716682,0.04742549274753705
129,Wood windows and door manufacturing,234681888.62753803,34572964.06230711,0.14731841585431255
284,Fluid power cylinder and actuator manufacturing,45265691.7725669,33195431.953208663,0.7333463966483912
182,Polystyrene foam product manufacturing,273957912.584632,32524991.768253066,0.1187225857482957
241,Metal heat treating,175695061.3432269,32047985.85398018,0.18240686795044986
224,Nonferrous forging,111117578.53047,30415882.1302718,0.27372700640638364
416,Wireless telecommunications carriers (except satellite),5321388551.098181,29025719.828595612,0.00545453870730893
197,Concrete block and brick manufacturing,201618507.39202803,28867322.036103997,0.14317793742999116
43,Natural gas distribution,1731295479.237,28393396.45423823,0.01640008698385298
415,Wired telecommunications carriers,5946447001.997999,27597236.946987964,0.004640962399516102
246,Ball and roller bearing manufacturing,55151371.09902,26188567.037778247,0.4748488843687805
130,"Cut stock, resawing lumber, and planing",131562604.9264926,25562717.090535875,0.19430078254241334
429,Other real estate,45368229021.814,25480333.404389083,0.0005616338559774419
199,Other concrete product manufacturing,266642917.045731,25150479.1649005,0.09432269734953068
175,Custom compounding of purchased resins,208045354.17462,25118997.33555035,0.12073808345879747
202,Abrasive product manufacturing,123076144.63375801,24519199.74849462,0.19921975799174782
218,Secondary processing of other nonferrous metals,89427458.78,24508318.599705108,0.2740580905915921
191,Flat glass manufacturing,69395326.60639,24234038.222763024,0.3492171506046565
204,Ground or treated mineral and earth manufacturing,222361935.624,24014642.653497845,0.10799799248961876
491,Full-service restaurants,13274866415.5101,23533460.893624462,0.0017727832549884206
424,Other financial investment activities,7753418451.852,23326719.01917474,0.0030085721754902657
492,Limited-service restaurants,15313495728.71641,22765680.83223936,0.001486641667947074
179,Unlaminated plastics profile shape manufacturing,108294482.84900351,22749828.415576916,0.21007375276261595
432,Automotive equipment rental and leasing,2192499913.0,22288691.19483954,0.010165880081765614
285,Fluid power pump and motor manufacturing,30465130.535911802,21633220.071739048,0.710097731117159
404,Warehousing and storage,4319109266.0,21493958.236899998,0.004976479388030374
127,Engineered wood member and truss manufacturing,108724414.261258,21479617.289068114,0.19756020241648697
294,Printed circuit assembly (electronic assembly) manufacturing,141723244.83103,19543566.666170284,0.13789951457484032
453,Facilities support services,731696586.67612,19339194.696428783,0.02643062035355528
251,Other fabricated metal manufacturing,252785353.66396898,19248592.66208585,0.07614599652665505
131,"Other millwork, including flooring",171093677.768239,18757209.446786,0.10963122478548999
452,Office administrative services,1991235465.9474,18447746.718836796,0.009264472752879395
237,Hardware manufacturing,70134980.830394,17735244.63043772,0.25287302313985804
180,Plastics pipe and pipe fitting manufacturing,165085599.16865,16966158.141619314,0.10277188456811932
181,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",107316602.27234,16249480.32376016,0.15141627650979342
267,Cutting tool and machine tool accessory manufacturing,183539756.845455,14878777.90594869,0.08106569476648587
