segment_id,segment_label_us,stage,occcd,Occupation Title,Occupation Type,Display Level,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034,segment_label_raw,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_label_mi,segment_name,share_diff_2024,share_diff_pct_points
3.0,3. Forging & Foundries,Upstream,13-0000,Business and financial operations occupations,Summary,1.0,24.5,7.1,0.2,22.9,7.5,0.2,-1.5,-14.8,0.0426978041129313,0.0445872274143302,3.Forging and foundries,Business and Financial Operations Occupations,530.0,590.0,major,False,0.0332496863237139,,0.0347058823529411,,60.0,11.32075471698113,  Business and financial operations occupations,Summary,11262.0,11848.9,586.9,5.2,942.5,80920.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.007991921759990202,0.7991921759990201
3.0,3. Forging & Foundries,Upstream,15-0000,Computer and mathematical occupations,Summary,1.0,6.8,1.9,0.1,6.2,1.9,0.1,-0.6,-22.3,0.0118508191007319,0.0120716510903426,3.Forging and foundries,Computer and Mathematical Occupations,160.0,160.0,major,False,0.0100376411543287,,0.0094117647058823,,0.0,0.0,  Computer and mathematical occupations,Summary,5416.7,5962.3,545.6,10.1,355.4,105850.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.0024390543948496005,0.24390543948496005
3.0,3. Forging & Foundries,Upstream,17-0000,Architecture and engineering occupations,Summary,1.0,31.1,10.4,1.2,30.1,11.3,1.1,-1.0,-8.600000000000001,0.0542000697107006,0.0586059190031152,3.Forging and foundries,Architecture and Engineering Occupations,900.0,740.0,major,False,0.0564617314930991,,0.0435294117647058,,-160.0,-17.777777777777782,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.010670657945994796,1.0670657945994797
3.0,3. Forging & Foundries,Upstream,19-0000,"Life, physical, and social science occupations",Summary,1.0,2.2,0.8999999999999999,0.1,2.1,1.1,0.1,0.0,-8.600000000000001,0.0038340885325897,0.0040887850467289,3.Forging and foundries,"Life, Physical, and Social Science Occupations",70.0,70.0,major,False,0.0043914680050188,,0.0041176470588235,,0.0,0.0,"  Life, physical, and social science occupations",Summary,1609.5,1690.4,80.9,5.0,144.7,78980.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,-0.0002835585262338002,-0.02835585262338002
3.0,3. Forging & Foundries,Upstream,23-0000,Legal occupations,Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-7.8,0.0001742767514813,0.0001947040498442,,,,,,,,,,,,,,,,,,,,,,,,,,3. Forging & Foundries,,
3.0,3. Forging & Foundries,Upstream,27-0000,"Arts, design, entertainment, sports, and media occupations",Summary,1.0,1.0,0.3,0.0,0.9,0.3,0.0,-0.1,-18.5,0.0017427675148135,0.0017523364485981,3.Forging and foundries,"Arts, Design, Entertainment, Sports, and Media Occupations",50.0,,major,False,0.0031367628607277,,,,,,"  Arts, design, entertainment, sports, and media occupations",Summary,3021.1,3104.6,83.5,2.8,289.4,60140.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,,
3.0,3. Forging & Foundries,Upstream,33-0000,Protective service occupations,Summary,1.0,0.6,0.1,0.0,0.4,0.1,0.0,-0.1,-31.6,0.0010456605088881,0.0007788161993769,,,,,,,,,,,,,,,,,,,,,,,,,,3. Forging & Foundries,,
3.0,3. Forging & Foundries,Upstream,37-0000,Building and grounds cleaning and maintenance occupations,Summary,1.0,2.3,1.0,0.0,2.2,1.0,0.0,-0.2,-17.6,0.0040083652840711,0.0042834890965732,3.Forging and foundries,Building and Grounds Cleaning and Maintenance Occupations,120.0,80.0,major,False,0.0075282308657465,,0.0047058823529411,,-40.0,-33.333333333333336,  Building and grounds cleaning and maintenance occupations,Summary,5715.9,5832.9,117.1,2.0,788.7,36790.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,-0.0006975170688699999,-0.069751706887
3.0,3. Forging & Foundries,Upstream,41-0000,Sales and related occupations,Summary,1.0,14.4,3.8,0.1,13.0,3.8,0.1,-1.5,-22.8,0.0250958522133147,0.0253115264797507,3.Forging and foundries,Sales and Related Occupations,220.0,220.0,major,False,0.013801756587202,,0.0129411764705882,,0.0,0.0,  Sales and related occupations,Summary,14532.6,14234.8,-297.8,-2.0,1786.8,37460.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.0121546757427265,1.21546757427265
3.0,3. Forging & Foundries,Upstream,43-0000,Office and administrative support occupations,Summary,1.0,47.9,14.3,0.2,40.3,13.5,0.2,-7.6,-34.099999999999994,0.0834785639595677,0.0784657320872274,3.Forging and foundries,Office and Administrative Support Occupations,1030.0,1070.0,major,False,0.0646173149309912,,0.0629411764705882,,40.0,3.883495145631066,  Office and administrative support occupations,Summary,19325.2,18563.3,-761.9,-3.9,1996.8,46320.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.0205373874889795,2.05373874889795
