segment_id,segment_name,occcd,issue,level
2.0,2. Equipment Manufacturing,47-3013,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-3019,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-4021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-5000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-5010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-5013,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-5071,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-2090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3042,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-3093,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9012,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9021,missing_in_mi,detailed
