Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,5311,,,1293267054.7551067,21596321840.426926,0.059883672058183256
,,5312,,,462950828.5589901,7732559494.922266,0.05987032222163899
,,2213,,,3466503.7045107624,59144431.58469769,0.058610821198722
,,3273,,,80705822.776476,1378371554.5287635,0.05855157305830185
,,4851,,,884405.4353881998,15569383.062765341,0.056804141295956845
,,6231,,,234839.338032999,4156417.484566635,0.05650042107295299
,,2123,,,20498937.40469524,365477034.9623297,0.056088168184926034
,,8132,,,1305499.2433663232,23517535.63963788,0.05551173657693775
,,4855,,,1446309.3392745196,26808121.36362914,0.05395041747448751
,,4852,,,1499123.4664544007,28040824.089181915,0.05346217577937586
,,4441,,,63827461.75775353,1210736636.8000665,0.052717874240963934
,,3211,,,36087461.26028225,691865267.6919332,0.05215966597177257
,,4442,,,13477576.350643924,261061719.4027081,0.05162601541688963
,,8133,,,1333620.1470203754,25836827.0644814,0.05161702494242181
,,4853,,,14113284.471825004,273540176.2994346,0.051594923505407474
,,5611,,,100767436.21672767,1997144101.4245055,0.050455766384034664
,,8139,,,20924029.388590377,415560004.5744074,0.050351403307013536
,,8134,,,7765950.411982503,156604206.311711,0.049589666809618495
,,4854,,,8749801.0090805,177732406.23906213,0.0492301949556201
,,4859,,,9050372.168759588,185479176.77546772,0.04879454570641932
,,7112,,,26590314.85593944,561375279.6677871,0.047366380065177016
,,5132,,,63911902.52934101,1372918103.5621386,0.04655186814385855
,,6239,,,29623.16717686536,646419.9875152718,0.045826502504558636
,,5617,,,257505534.64248902,5744182902.272196,0.04482892328178285
,,8123,,,17720240.52821291,396402521.543381,0.044702643311197165
,,7131,,,612463.2075909069,13719193.130125232,0.04464280091268867
,,1132,,,444604.2473536946,10411750.490125218,0.04270216115679771
,,8114,,,16125702.986389004,387139484.323822,0.04165347023322657
,,1133,,,8989057.542379132,217642858.25849324,0.041301872316448246
OEM,6. Engineering & Design,5417,Scientific Research and Development ,28480.0,3449200.5085614114,83831336.4983094,0.04114452485951921
,,8122,,,192177.29647785565,4858585.841286029,0.03955416303337102
,,1131,,,404279.1435762406,10254416.45312136,0.03942488053068893
,,3256,,,13258196.10837626,360219712.4229997,0.03680585945504113
,,7111,,,3154200.9034885704,90220135.63629755,0.03496116339487707
,,6232,,,70818.96568563301,2089148.275258436,0.03389848701709428
,,3391,,,10813093.15191641,320417485.2195734,0.03374688851485896
,,6233,,,69543.38085258228,2077155.6439522798,0.0334801010483064
,,4453,,,417196.09220313973,12494706.797131049,0.03338982650628773
,,7114,,,4123870.854345735,123667880.25820957,0.033346337349159635
,,7113,,,13110225.348467365,407158491.8431624,0.032199317000902505
,,4452,,,590356.7639900658,18504358.708935786,0.0319036597417981
,,7132,,,105666.32663738779,3331977.33771874,0.03171279871601195
,,7225,,,134290597.8296802,4313812922.425806,0.03113037126194243
,,3364,,,26443684.689574525,855866672.7708884,0.030896967402600777
,,3352,,,1200171.1195942657,40385999.46631783,0.029717504468230772
,,5622,,,8950052.119741946,315846981.51969624,0.02833667137383683
,,3118,,,2150002.801436909,78401018.17752711,0.027423148977077778
,,5621,,,27011670.42145703,985665278.747978,0.027404506381484874
,,5629,,,18755831.849648714,684445068.412426,0.027402976097341117
,,3346,,,263160.4559298922,9745678.730863817,0.02700278381807141
