segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,142.85696594309061,142.85696594309061,1076.678770529105,0.02317384819439952,0.022900763358778713,0.014298000430015,Bachelor's degree,5 years or more,,BA+,1020.0,17.1,17.08220241930264
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,174.9639503060608,174.9639503060608,318.1922630723648,0.02109897170662306,0.02072864321608046,0.0161604361370716,Bachelor's degree,5 years or more,,BA+,300.0,17.1,15.996174502280272
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,359.5381499103609,359.5381499103609,1217.555302888048,0.024412772232163964,0.024210730195622813,0.0157653839633836,Bachelor's degree,5 years or more,,BA+,1020.0,17.1,17.001450386109937
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,140.71959489540814,140.71959489540814,428.3916893478088,0.022482741607713515,0.022401991288114584,0.0142661179698216,Bachelor's degree,5 years or more,,BA+,350.0,17.1,17.941262465719106
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,4.965237931557534,4.965237931557534,580.4531364216035,0.004695102837416244,0.00471161657189274,0.0027525741665817,Bachelor's degree,5 years or more,,BA+,740.0,17.1,17.46126903099035
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,3187.77784032213,3187.77784032213,3187.77784032213,0.02014004231284457,0.020103092783505243,0.0132024004364429,Bachelor's degree,5 years or more,,BA+,3050.0,17.1,15.666405944662051
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,622.3701264773084,622.3701264773084,622.3701264773084,0.0054183921845109275,0.005238439306358333,0.0019615617370255,Bachelor's degree,5 years or more,,BA+,830.0,17.1,17.614202521196955
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,4913.505267342386,4913.505267342386,8466.207620828342,0.010948563691407707,0.011197682773533751,0.010782173724194408,Bachelor's degree,5 years or more,,BA+,8780.0,136.8,136.22708260130594
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,9.135524153708324,9.135524153708324,33.72416448180273,0.0006899237980345437,0.0006657235582924043,0.0011750881316098,Bachelor's degree,5 years or more,,BA+,90.0,6.4,6.763380057882796
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,7.936498107949133,7.936498107949133,59.81548725161433,0.0012874360107999173,0.0012722646310432061,0.0020425714900021,Bachelor's degree,5 years or more,,BA+,80.0,6.4,6.3933389171659005
