segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
3,Forging & Foundries,2030,sam_mi,dtmb_mi,Forecast,8644.081920123073
4,Parts & Machining,2030,sam_mi,dtmb_mi,Forecast,14662.503515659799
5,Component Systems,2030,sam_mi,dtmb_mi,Forecast,6066.881475693046
6,Engineering & Design,2030,sam_mi,dtmb_mi,Forecast,1083.9748552040082
7,Core Automotive,2030,sam_mi,dtmb_mi,Forecast,167716.45799999996
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi,dtmb_mi,Forecast,113556.85400000002
9,"Dealers, Maintenance, & Repair",2030,sam_mi,dtmb_mi,Forecast,69272.77199999998
10,Logistics,2030,sam_mi,dtmb_mi,Forecast,47498.556999999964
1,Materials & Processing - Coatings & Surface Treatments,2031,sam_mi,dtmb_mi,Forecast,4820.617776638944
1,Materials & Processing - Metals,2031,sam_mi,dtmb_mi,Forecast,3190.043554614409
1,Materials & Processing - Non-Metals,2031,sam_mi,dtmb_mi,Forecast,12712.975013873014
2,Equipment Manufacturing,2031,sam_mi,dtmb_mi,Forecast,6113.648215082397
3,Forging & Foundries,2031,sam_mi,dtmb_mi,Forecast,8582.573720977132
4,Parts & Machining,2031,sam_mi,dtmb_mi,Forecast,14617.722681301682
5,Component Systems,2031,sam_mi,dtmb_mi,Forecast,6081.157441721132
6,Engineering & Design,2031,sam_mi,dtmb_mi,Forecast,1093.0409810044011
7,Core Automotive,2031,sam_mi,dtmb_mi,Forecast,166838.51341295592
8,"Motor Vehicle Parts, Materials, & Products Sales",2031,sam_mi,dtmb_mi,Forecast,113264.28722062676
9,"Dealers, Maintenance, & Repair",2031,sam_mi,dtmb_mi,Forecast,69218.44431485234
10,Logistics,2031,sam_mi,dtmb_mi,Forecast,47600.917480063494
1,Materials & Processing - Coatings & Surface Treatments,2032,sam_mi,dtmb_mi,Forecast,4812.4009868742
1,Materials & Processing - Metals,2032,sam_mi,dtmb_mi,Forecast,3163.443135048768
1,Materials & Processing - Non-Metals,2032,sam_mi,dtmb_mi,Forecast,12674.573512677585
2,Equipment Manufacturing,2032,sam_mi,dtmb_mi,Forecast,6095.168180661842
3,Forging & Foundries,2032,sam_mi,dtmb_mi,Forecast,8521.53210007616
4,Parts & Machining,2032,sam_mi,dtmb_mi,Forecast,14573.189573980191
5,Component Systems,2032,sam_mi,dtmb_mi,Forecast,6095.715959298591
6,Engineering & Design,2032,sam_mi,dtmb_mi,Forecast,1102.2286278206802
7,Core Automotive,2032,sam_mi,dtmb_mi,Forecast,165965.164598486
8,"Motor Vehicle Parts, Materials, & Products Sales",2032,sam_mi,dtmb_mi,Forecast,112973.021487731
