share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,4,Parts & Machining,50443,3947,3735
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,5,Component Systems,18283,1196,1161
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,6,Engineering & Design,120207,390,416
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,10,Logistics,46889,46889,41179
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1333,1320
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,1023,973
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,2752,2703
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,1225,1203
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,3,Forging & Foundries,16337,4491,4298
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,4,Parts & Machining,50443,3947,3862
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,5,Component Systems,18283,1196,1198
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,6,Engineering & Design,120207,390,402
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
bea_detail_output,BEA Detail (Total Output),dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,1333,1295
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,1,Materials & Processing - Metals,9192,1023,1028
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,2752,2804
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,2,Equipment Manufacturing,47550,1225,1201
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,3,Forging & Foundries,16337,4491,4122
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,4,Parts & Machining,50443,3947,3874
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,5,Component Systems,18283,1196,1219
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,6,Engineering & Design,120207,390,399
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,7,Core Automotive,173082,173082,158280
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
bea_detail_output,BEA Detail (Total Output),bls_us,BLS US,10,Logistics,46889,46889,47264
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1619,1586
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,1310,1103
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,3666,3394
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,771,727
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,3,Forging & Foundries,16337,3525,2940
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,4,Parts & Machining,50443,5251,4960
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,5,Component Systems,18283,515,510
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,6,Engineering & Design,120207,1516,1555
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,1619,1617
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,1,Materials & Processing - Metals,9192,1310,1150
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,3666,3503
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,2,Equipment Manufacturing,47550,771,713
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,3,Forging & Foundries,16337,3525,3078
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,4,Parts & Machining,50443,5251,4972
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,5,Component Systems,18283,515,500
