stage,year,employment,wages,gdp
Upstream,2016,3647.579516840969,252281.31075285884,553.2977289568931
Upstream,2017,3666.205338412833,263181.56847557693,571.2253922832759
Upstream,2018,3757.710970213576,277409.9508936303,610.8111328900417
Upstream,2019,3798.519555566521,284220.3632095119,623.1701516948576
Upstream,2020,3595.755470110269,279074.77606562467,600.2372365895261
Upstream,2021,3602.815270736218,298338.5046950841,646.6710098908454
Upstream,2022,3741.9754420213903,320034.13778560044,711.0507901302921
Upstream,2023,3770.502968111211,335535.87122261693,742.9297671344823
Upstream,2024,3711.9931894526376,362250.89882712666,768.827564677187
Upstream,2025,3666.474610858538,380223.18119203235,791.4262275631783
Upstream,2026,3651.2876814304327,392674.39922306186,820.2887694619076
Upstream,2027,3633.715088508752,404522.7127785915,856.7299712258881
Upstream,2028,3614.416154308103,414824.7944093724,896.8816413811993
Upstream,2029,3588.1939395398085,426996.2483609115,937.0581827867734
Upstream,2030,3563.625223200782,440584.9572678277,978.2896037274584
Upstream,2031,3536.1238930066907,453846.61293126567,1017.9388368097884
Upstream,2032,3499.669301280314,465124.9332043246,1053.0348817138745
Upstream,2033,3456.8123997519046,474340.8083180315,1086.677743046599
Upstream,2034,3412.663093573907,482749.7914713912,1117.678537167326
Upstream,2035,3371.3679151186525,491749.83892811544,1146.164454209368
Upstream,2036,3334.8422749894476,501904.60699103377,1177.4092466229129
Upstream,2037,3300.6240062217607,512863.757689382,1210.2408668041153
Upstream,2038,3267.3710530662297,524188.9889307584,1241.3968498254753
Upstream,2039,3235.818201568105,535808.4989811634,1270.5470890621011
Upstream,2040,3203.713906713607,547555.848868292,1296.8341687041514
Upstream,2041,3171.8004916124473,559084.9401900432,1320.9939421592144
Upstream,2042,3140.029748223199,570738.2969274877,1344.5833234706479
Upstream,2043,3108.1277785777183,583072.9760159788,1368.163981996028
Upstream,2044,3077.1527794090175,596446.439789314,1392.907279236119
Upstream,2045,3046.816003415735,610584.5564487956,1418.9386721410722
Upstream,2046,3017.1991244749656,625446.2366644301,1446.2856088803926
Upstream,2047,2987.6574608053306,640912.5782990362,1475.4633174923486
Upstream,2048,2957.2329604369475,656824.2530165765,1506.4767158141033
Upstream,2049,2927.089092761886,673004.5303825386,1538.8765888948974
Upstream,2050,2898.3277031788066,689484.3986553182,1573.0461348748006
Upstream,2051,2870.610375806601,706360.6162326884,1608.5869153346553
Upstream,2052,2843.1043481051065,723746.0802261417,1645.3570775450169
Upstream,2053,2814.901124399372,741543.6788891737,1683.6616264367774
Upstream,2054,2785.4801016164747,759669.9528381607,1723.6741020990094
Upstream,2055,2755.0171919530117,778069.0381613025,1765.3780945916053
