Geography:,naics_code,metric,value_base,value_target,cagr_pct
United States,3327,wages,23149.968182627792,24243.08355682531,0.7719300762793369
United States,3329,wages,22890.17892697569,26565.064597998968,2.512529089577953
United States,3344,wages,73871.87687500735,105574.2848339158,6.132037663282008
United States,3336,wages,9429.5112529557,10554.0083659755,1.895430496738859
United States,3345,wages,56624.92605047462,66516.97794929774,2.7197949199440075
United States,3359,wages,14703.514014926839,18818.76845179632,4.198550239179011
United States,5413,wages,196714.769026289,243234.9716507469,3.6012133019680537
United States,5414,wages,13927.73444562083,16418.17325674591,2.7797111407867003
United States,5417,wages,167686.7621277679,221885.262422982,4.778363986368328
United States,3361,wages,28985.155388810483,38136.42040009743,4.67927728690245
United States,3362,wages,10482.49990835531,12750.97950230947,3.318901500828031
United States,3363,wages,39564.879224946264,41986.07973249219,0.99485429561188
United States,4231,wages,30100.5260112924,38098.15915198873,4.0051834677564235
United States,4235,wages,13003.465793624531,16342.27465434596,3.882461313351815
United States,4238,wages,76198.97715128526,96735.00605299791,4.05726820188792
United States,4239,wages,25641.93394231841,32592.366353333233,4.078458842292587
United States,4247,wages,11872.178649266489,14122.93717239807,2.9356395847338623
United States,4413,wages,28082.37005899764,35343.235517326706,3.907147952209611
United States,4571,wages,32684.2578283209,41755.709976462545,4.1668522695702315
United States,4411,wages,107485.78342255071,133072.8039420636,3.6230522158005707
United States,8111,wages,58187.45914182963,77720.96569266396,4.942514449053714
United States,4841,wages,76041.02993441913,78505.13888966544,0.5329321252769414
United States,4842,wages,32738.28201209285,34126.17412249116,0.6943925107609772
