series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053363,2004,168955.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2004,19648.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2004,7382.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2004,23510.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2004,6562.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2004,2889.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2004,14136.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2004,25912.40278879802,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2004,41803.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2004,32562.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2004,25079.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2004,10949.0,4842,10,Logistics,Downstream,10. Logistics
ENU260001053252,2005,6830.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2005,3423.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2005,37192.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2005,5446.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2005,7177.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2005,5776.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2005,2632.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2005,1658.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2005,2336.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2005,14620.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2005,16076.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2005,39706.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2005,16023.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2005,6839.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2005,3217.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2005,28816.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2005,12322.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2005,6369.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2005,4598.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2005,9239.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2005,1778.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2005,69943.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2005,4365.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2005,23649.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2005,65509.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2005,8972.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2005,157602.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2005,19348.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2005,6993.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2005,23707.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2005,6859.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2005,2915.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2005,13778.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2005,25841.06699625651,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2005,41033.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2005,30919.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2005,26456.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2005,10926.0,4842,10,Logistics,Downstream,10. Logistics
ENU260001053252,2006,6783.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2006,3299.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2006,36426.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2006,5353.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2006,6099.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2006,5754.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2006,2454.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
